avibase_id,AM,AMR,E,IO,MM,N,NR,OM,PM,PMR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,ES
avibase-D16D486D,,,,,,,,,,,,,,,,,,,
avibase-082F3A63,,,,,,,,,TRUE,,,,,,,,,,
avibase-3BB5CBA6,,,,,,,,,TRUE,,,,,,,,,,
avibase-9A684C99,,,,,,,,,TRUE,,,,,,,,,,
avibase-454B5CD5,,,,,,,,,TRUE,,,,,,,,,,
avibase-1A15F0C6,,,,,,,,,TRUE,,,,,,,,,,
avibase-BCCD5840,,,,,,,,,TRUE,,,,,,,,,,
avibase-EE61E2CA,,,,,,,,,,,,,,,,,TRUE,,
avibase-831FC147,,TRUE,,,,,,,,,,,,,,,,,
avibase-9151E0BA,,,,,,,,,TRUE,,,,,,,,,,
avibase-6D5992EE,,,,,,,,,TRUE,,,,,,,,,,
avibase-8548B07E,,,,,,,,,TRUE,,,,,,,,,,
avibase-0D88C072,,,,,,,,,,,,,,,TRUE,,,,
avibase-18A19380,,,,,,,,,,,,,,,,,TRUE,,
avibase-E6F3BA54,,,,,,,,,TRUE,,,,,,,,,,
avibase-A7B17EFC,,,,,,,,,TRUE,,,,,,,,,,
avibase-15CF9352,,,,,,,,,TRUE,,,,,,,,,,
avibase-8E67DC5F,,,,,,,,,TRUE,,,,,,,,,,
avibase-D6BFC73A,,,,,,,,,TRUE,,,,,,,,,,
avibase-0895DD84,,,,,,,,,TRUE,,,,,,,,,,
avibase-18B415D2,,,,,,,,,TRUE,,,,,,,,,,
avibase-DC3050A9,,,,,,,,,TRUE,,,,,,,,,,
avibase-B5CE8FAD,,,,,,,,,,,,,,,,,TRUE,,
avibase-2DABF98F,,,,,,,,,TRUE,,,,,,,,,,
avibase-0A14882F,,,,,,,,,TRUE,,,,,,,,,,
avibase-143A681C,,,,,,,,,TRUE,,,,,,,,,,
avibase-BBDF2F1B,,,,,,,,,,,,,,,,,TRUE,,
avibase-5ACF7FB3,,,,,,,,,TRUE,,,,,,,,,,
avibase-7D629288,,,,,,,,,,,,,,,,,TRUE,,
avibase-3A3C62BC,,,,,,,,,,,,,,,TRUE,,,,
avibase-06B9BD24,,,,,,,,,TRUE,,,,,,,,,,
avibase-15369E8E,,,,,,,,,TRUE,,,,,,,,,,
avibase-ACC99F35,,,,,,,,,,,,,,,TRUE,,TRUE,,
avibase-9936FF4A,,,,,,,,,TRUE,,,,,,,,,,
avibase-B605A049,,,,,,,,,,,,,,,,,,,
avibase-0DA8BB90,,,,,,,,,,,,,,,,,,,
avibase-0874B4D5,,,,,,,,,,,,,,,,,,,
avibase-C3E33FEB,TRUE,,,,,,,,,,,,,,,,,,
avibase-C130193B,,,,,,,,,,,,,,,,,,,
avibase-F5145338,TRUE,,,,,,,,,,,,,,,,,,
avibase-29D50ED5,,,,,,,,,,,,,,,,,,,
avibase-7A841F83,,,,,,,,,,,,,,,,,,,
avibase-DE0A72A7,,,,,,,,,,,,,,,,,TRUE,,
avibase-6091E70B,,,,,,,,,,,,,,,,,,,
avibase-AC0F25BB,,,,,TRUE,,,,,,,,,,,,,,
avibase-95820ED1,,,,,,,,,,,,,,,,,,,
avibase-E1F6A875,,,,,,,,,TRUE,,,,,,,,,,
avibase-D56ABB4E,,TRUE,,,,,,,,,,,,,,,,,
avibase-39086887,,,,,,,,,,,,,,,,,TRUE,,
avibase-1D446440,,,,,,,,,,,,,,,,,TRUE,,
avibase-7CB8F5B7,,,,,,,,,,,,,,,,,TRUE,,
avibase-4D5D2BC3,,,,,,,,,,,,,,,,,,,
avibase-907B1140,,,,,,,,,,,,,,,,,,,
avibase-A070171E,,,,,,,,,,,,,,,,,,,
avibase-03F9EB15,,,,TRUE,,,,,,,,,,,,,,,
avibase-3E7F825D,,,,,,,,,,,,,,,,,,,
avibase-E6518B9D,,,,,,,,,,,,,,,,,,,
avibase-17310BF0,,,,,,,,,TRUE,,TRUE,,,,,,,,
