group_id,relationship,mapping_basis,old_avilist_id,old_english_name,old_scientific_name,new_avilist_id,new_english_name,new_scientific_name
stable-avibase-8E833C63,name_change,stable_avilist_id,avibase-8E833C63,Archer’s Francolin ,Scleroptila gutturalis,avibase-8E833C63,Orange River Francolin,Scleroptila gutturalis
stable-avibase-8E8B3DB9,name_change,stable_avilist_id,avibase-8E8B3DB9,Thick-billed Seedeater,Crithagra burtoni (race albifrons),avibase-8E8B3DB9,Thick-billed Seedeater,Crithagra burtoni
stable-avibase-8EB0AB41,name_change,stable_avilist_id,avibase-8EB0AB41,Moorland (Alpine) Chat,Pinarochroa sordida,avibase-8EB0AB41,Moorland Chat,Pinarochroa sordida
stable-avibase-902E9F69,name_change,stable_avilist_id,avibase-902E9F69,Eastern Grey (Grey-headed) Woodpecker,Mesopicus spodocephalus ,avibase-902E9F69,Eastern Grey Woodpecker,Dendropicos spodocephalus
stable-avibase-90D0D245,name_change,stable_avilist_id,avibase-90D0D245,Black-headed Batis,Batis minor,avibase-90D0D245,Eastern Black-headed Batis,Batis minor
stable-avibase-9164F314,name_change,stable_avilist_id,avibase-9164F314,Chestnut-backed Sparrow Lark,Eremopterix leucotis,avibase-9164F314,Chestnut-backed Sparrow-Lark,Eremopterix leucotis
stable-avibase-92908926,name_change,stable_avilist_id,avibase-92908926,Bearded Scrub Robin,Cercotrichas quadrivirgata,avibase-92908926,Bearded Scrub Robin,Tychaedon quadrivirgata
stable-avibase-92FDBAF0,name_change,stable_avilist_id,avibase-92FDBAF0,Red-throated Tit,Parus fringillinus,avibase-92FDBAF0,Red-throated Tit,Melaniparus fringillinus
stable-avibase-94C71DF6,name_change,stable_avilist_id,avibase-94C71DF6,White-browed Sparrow Weaver,Plocepasser mahali,avibase-94C71DF6,White-browed Sparrow-Weaver,Plocepasser mahali
stable-avibase-95054CA5,name_change,stable_avilist_id,avibase-95054CA5,Grey-throated (Grey-headed) Barbet,Gymnobucco bonapartei (race cinereiceps),avibase-95054CA5,Grey-throated Barbet,Gymnobucco bonapartei
stable-avibase-958F4A5E,name_change,stable_avilist_id,avibase-958F4A5E,Rufous-chested Swallow,Cecropis semirufa,avibase-958F4A5E,Red-breasted Swallow,Cecropis semirufa
stable-avibase-95A2F6E7,name_change,stable_avilist_id,avibase-95A2F6E7,Montane Oriole,Oriolus percivali,avibase-95A2F6E7,Mountain Oriole,Oriolus percivali
stable-avibase-9616C96E,name_change,stable_avilist_id,avibase-9616C96E,Blue-shouldered Robin Chat,Cossypha cyanocampter,avibase-9616C96E,Blue-shouldered Robin-Chat,Cossypha cyanocampter
stable-avibase-97C47F3E,name_change,stable_avilist_id,avibase-97C47F3E,Black-shouldered (Black-winged) Kite,Elanus caeruleus,avibase-97C47F3E,Black-winged Kite,Elanus caeruleus
stable-avibase-97D7865F,name_change,stable_avilist_id,avibase-97D7865F,Fischer’s Sparrow Lark,Eremopterix leucopareia,avibase-97D7865F,Fischer's Sparrow-Lark,Eremopterix leucopareia
stable-avibase-982C918E,name_change,stable_avilist_id,avibase-982C918E,Banded Parisoma,Sylvia boehmi (race marsabit),avibase-982C918E,Banded Parisoma,Curruca boehmi
stable-avibase-98B9C10B,name_change,stable_avilist_id,avibase-98B9C10B,Greater Sand Plover,Charadrius leschenaultii,avibase-98B9C10B,Greater Sand Plover,Anarhynchus leschenaultii
stable-avibase-9A418C45,name_change,stable_avilist_id,avibase-9A418C45,African Hawk Eagle,Aquila spilogaster,avibase-9A418C45,African Hawk-Eagle,Aquila spilogaster
stable-avibase-9D29C252,name_change,stable_avilist_id,avibase-9D29C252,Crested Guineafowl,Guttera (pucherani) verreauxi,avibase-9D29C252,Western Crested Guineafowl,Guttera verreauxi
stable-avibase-9DBAAB1D,name_change,stable_avilist_id,avibase-9DBAAB1D,Dwarf Raven,Corvus edithae,avibase-9DBAAB1D,Somali Crow,Corvus edithae
stable-avibase-9FF4EDB5,name_change,stable_avilist_id,avibase-9FF4EDB5,Brown-backed Woodpecker,Mesopicus obsoletus,avibase-9FF4EDB5,Brown-backed Woodpecker,Dendropicos obsoletus
stable-avibase-A0DC8E87,name_change,stable_avilist_id,avibase-A0DC8E87,African Bare-eyed Thrush,Turdus tephronotus,avibase-A0DC8E87,Bare-eyed Thrush,Turdus tephronotus
stable-avibase-A14D3117,name_change,stable_avilist_id,avibase-A14D3117,Grey-breasted Illadopsis,Illadopsis distans,avibase-A14D3117,Tanzanian Illadopsis,Illadopsis distans
stable-avibase-A15F6836,name_change,stable_avilist_id,avibase-A15F6836,Shelley's Francolin,Scleroptila shelleyi (race macarthuri),avibase-A15F6836,Shelley's Francolin,Scleroptila shelleyi
stable-avibase-A19B0CF4,name_change,stable_avilist_id,avibase-A19B0CF4,African Fish Eagle,Haliaeetus vocifer,avibase-A19B0CF4,African Fish Eagle,Icthyophaga vocifer
stable-avibase-A38BABE1,name_change,stable_avilist_id,avibase-A38BABE1,Cape Robin Chat,Caffrornis caffra,avibase-A38BABE1,Cape Robin-Chat,Dessonornis caffer
stable-avibase-A3E077E6,name_change,stable_avilist_id,avibase-A3E077E6,Gillett's Lark,Mirafra gilletti,avibase-A3E077E6,Gillett's Lark,Calendulauda gilletti
stable-avibase-A51A5F84,name_change,stable_avilist_id,avibase-A51A5F84,Spotted Creeper,Salpornis salvadori,avibase-A51A5F84,African Spotted Creeper,Salpornis salvadori
stable-avibase-A526534E,name_change,stable_avilist_id,avibase-A526534E,Pennant-winged Nightjar,Macrodipteryx vexillarius,avibase-A526534E,Pennant-winged Nightjar,Caprimulgus vexillarius
stable-avibase-A77D4A77,name_change,stable_avilist_id,avibase-A77D4A77,White-crowned Starling,Lamprotornis albicapillus (race horrensis),avibase-A77D4A77,White-crowned Starling,Lamprotornis albicapillus
stable-avibase-A7E59764,name_change,stable_avilist_id,avibase-A7E59764,Jackson’s Francolin,Pternistis jacksoni,avibase-A7E59764,Jackson's Spurfowl,Pternistis jacksoni
stable-avibase-A927C1AE,name_change,stable_avilist_id,avibase-A927C1AE,Lesser Moorhen,Gallinula angulata,avibase-A927C1AE,Lesser Moorhen,Paragallinula angulata
stable-avibase-A990EB0B,name_change,stable_avilist_id,avibase-A990EB0B,Fawn-coloured Lark,Calendulauda africanoides,avibase-A990EB0B,Fawn-colored Lark,Calendulauda africanoides
stable-avibase-AA4385A2,name_change,stable_avilist_id,avibase-AA4385A2,Kentish Plover,Charadrius alexandrinus,avibase-AA4385A2,Kentish Plover,Anarhynchus alexandrinus
stable-avibase-AAC2D613,name_change,stable_avilist_id,avibase-AAC2D613,Cape Petrel,Daption capense,avibase-AAC2D613,Pintado Petrel,Daption capense
stable-avibase-AB1CB216,name_change,stable_avilist_id,avibase-AB1CB216,Cattle Egret,Bubulcus ibis,avibase-AB1CB216,Western Cattle Egret,Ardea ibis
stable-avibase-AC89B8FF,name_change,stable_avilist_id,avibase-AC89B8FF,Madagascar Bee-eater,Merops superciliosus,avibase-AC89B8FF,Olive Bee-eater,Merops superciliosus
stable-avibase-ACE8EADE,name_change,stable_avilist_id,avibase-ACE8EADE,Black-bellied Storm-Petrel,Fregetta tropica,avibase-ACE8EADE,Black-bellied Storm Petrel,Fregetta tropica
stable-avibase-ACF0F1A2,name_change,stable_avilist_id,avibase-ACF0F1A2,Eastern Paradise Whydah,Vidua paradisaea,avibase-ACF0F1A2,Long-tailed Paradise Whydah,Vidua paradisaea
stable-avibase-ADDB3611,name_change,stable_avilist_id,avibase-ADDB3611,White-headed Mousebird,Colius leucocephalus (race turneri),avibase-ADDB3611,White-headed Mousebird,Colius leucocephalus
stable-avibase-AF75AC32,name_change,stable_avilist_id,avibase-AF75AC32,(Northern) Red-billed Hornbill,Tockus erythrorhynchus,avibase-AF75AC32,Northern Red-billed Hornbill,Tockus erythrorhynchus
stable-avibase-B0E7740F,name_change,stable_avilist_id,avibase-B0E7740F,Pygmy Sunbird,Hedydipna platyura,avibase-B0E7740F,Pygmy Sunbird,Hedydipna platura
stable-avibase-B15F4C49,name_change,stable_avilist_id,avibase-B15F4C49,Grey-headed Negrofinch,Nigrita canicapillus,avibase-B15F4C49,Grey-headed Nigrita,Nigrita canicapillus
stable-avibase-B21A37E7,name_change,stable_avilist_id,avibase-B21A37E7,(African) Grass Owl,Tyto capensis,avibase-B21A37E7,African Grass Owl,Tyto capensis
stable-avibase-B4967714,name_change,stable_avilist_id,avibase-B4967714,Red-rumped Swallow,Cecropis daurica rufula,avibase-B4967714,European Red-rumped Swallow,Cecropis rufula
stable-avibase-B68BD0D2,name_change,stable_avilist_id,avibase-B68BD0D2,Rufous Bush Chat,Cercotrichas galactotes,avibase-B68BD0D2,Rufous-tailed Scrub Robin,Cercotrichas galactotes
stable-avibase-B85B93BB,name_change,stable_avilist_id,avibase-B85B93BB,Cinnamon-chested Bee-eater,Merops lafresnayii,avibase-B85B93BB,Cinnamon-chested Bee-eater,Merops oreobates
stable-avibase-BAE527A2,name_change,stable_avilist_id,avibase-BAE527A2,Eastern Olivaceous Warbler,Hippolais pallida,avibase-BAE527A2,Eastern Olivaceous Warbler,Iduna pallida
stable-avibase-BB05D1FC,name_change,stable_avilist_id,avibase-BB05D1FC,Snowy-headed Robin Chat,Cossypha niveicapilla,avibase-BB05D1FC,Snowy-crowned Robin-Chat,Cossypha niveicapilla
stable-avibase-BB11EE7F,name_change,stable_avilist_id,avibase-BB11EE7F,Brown-rumped Bunting,Fringillaria affinis,avibase-BB11EE7F,Brown-rumped Bunting,Emberiza affinis
stable-avibase-BB456342,name_change,stable_avilist_id,avibase-BB456342,Racquet-tailed Roller,Coracias spatulatus,avibase-BB456342,Racket-tailed Roller,Coracias spatulatus
stable-avibase-BBA263C2,name_change,stable_avilist_id,avibase-BBA263C2,Feral Pigeon,Columba livia,avibase-BBA263C2,Rock Dove,Columba livia
stable-avibase-BC6C3CCE,name_change,stable_avilist_id,avibase-BC6C3CCE,Eurasian Teal,Anas crecca,avibase-BC6C3CCE,Green-winged Teal,Anas crecca
stable-avibase-BD7C4F70,name_change,stable_avilist_id,avibase-BD7C4F70,Green-backed Woodpecker,Campethera cailliautii,avibase-BD7C4F70,Green-backed Woodpecker,Campethera maculosa
stable-avibase-BDF442F2,name_change,stable_avilist_id,avibase-BDF442F2,Emerald-spotted Wood-Dove,Turtur chalcospilos,avibase-BDF442F2,Emerald-spotted Wood Dove,Turtur chalcospilos
stable-avibase-BE56C141,name_change,stable_avilist_id,avibase-BE56C141,Semi-collared Flycatcher,Ficedula semitorquata,avibase-BE56C141,Semicollared Flycatcher,Ficedula semitorquata
stable-avibase-C130193B,name_change,stable_avilist_id,avibase-C130193B,Double-banded Courser,Rhinoptilus africanus,avibase-C130193B,Double-banded Courser,Smutsornis africanus
stable-avibase-C1CBA33A,name_change,stable_avilist_id,avibase-C1CBA33A,Mouse-coloured Sunbird,Cyanomitra veroxii,avibase-C1CBA33A,Grey Sunbird,Cyanomitra veroxii
stable-avibase-C3ABF863,name_change,stable_avilist_id,avibase-C3ABF863,Yellow-billed Egret,Egretta intermedia,avibase-C3ABF863,Yellow-billed Egret,Ardea brachyrhyncha
stable-avibase-C49FA9A8,name_change,stable_avilist_id,avibase-C49FA9A8,Flappet Lark,Mirafra rufocinnamomea,avibase-C49FA9A8,Flappet Lark,Amirafra rufocinnamomea
stable-avibase-C505EA72,name_change,stable_avilist_id,avibase-C505EA72,African Harrier Hawk (Gymnogene),Polyboroides typus,avibase-C505EA72,African Harrier-Hawk,Polyboroides typus
stable-avibase-C54DCA26,name_change,stable_avilist_id,avibase-C54DCA26,Abyssinian Ground Thrush,Zoothera piaggiae,avibase-C54DCA26,Abyssinian Ground Thrush,Geokichla piaggiae
stable-avibase-C5585051,name_change,stable_avilist_id,avibase-C5585051,Reichenow’s (Speckle-throated) Woodpecker,Campethera scriptoricauda,avibase-C5585051,Speckle-throated Woodpecker,Campethera scriptoricauda
stable-avibase-C5C38D98,name_change,stable_avilist_id,avibase-C5C38D98,Chin-spot Batis,Batis molitor,avibase-C5C38D98,Chinspot Batis,Batis molitor
stable-avibase-C5FB15C6,name_change,stable_avilist_id,avibase-C5FB15C6,Leach’s Storm-petrel,Hydrobates leucorhous,avibase-C5FB15C6,Leach's Storm Petrel,Hydrobates leucorhous
stable-avibase-C67FD539,name_change,stable_avilist_id,avibase-C67FD539,Red-winged Warbler,Prinia erythropterus,avibase-C67FD539,Red-winged Prinia,Prinia erythroptera
stable-avibase-C7708C70,name_change,stable_avilist_id,avibase-C7708C70,Grosbeak Weaver,Amblyospiza albifrons,avibase-C7708C70,Thick-billed Weaver,Amblyospiza albifrons
stable-avibase-C7B05F46,name_change,stable_avilist_id,avibase-C7B05F46,Grey Cuckooshrike,Ceblepyris caesia,avibase-C7B05F46,Grey Cuckooshrike,Ceblepyris caesius
stable-avibase-C7DB323E,name_change,stable_avilist_id,avibase-C7DB323E,Stone-curlew,Burhinus oedicnemus,avibase-C7DB323E,Eurasian Stone-curlew,Burhinus oedicnemus
stable-avibase-C8880D28,name_change,stable_avilist_id,avibase-C8880D28,White-bellied Tit,Parus albiventris,avibase-C8880D28,White-bellied Tit,Melaniparus albiventris
stable-avibase-C978ABCC,name_change,stable_avilist_id,avibase-C978ABCC,Southern (Grey-faced) Citril ,Crithagra (citrinelloides) hyposticta,avibase-C978ABCC,Southern Citril,Crithagra hyposticta
stable-avibase-C97A5C39,name_change,stable_avilist_id,avibase-C97A5C39,Parasitic Weaver,Anomalospiza imberbis,avibase-C97A5C39,Cuckoo-finch,Anomalospiza imberbis
stable-avibase-CAA45AC6,name_change,stable_avilist_id,avibase-CAA45AC6,African Blue Quail,Synoicus adansoniee,avibase-CAA45AC6,Blue Quail,Synoicus adansonii
stable-avibase-CAFE345D,name_change,stable_avilist_id,avibase-CAFE345D,Common Quail,Coturnix coturnix (race coturnix),avibase-CAFE345D,Common Quail,Coturnix coturnix
stable-avibase-CD8DEBE3,name_change,stable_avilist_id,avibase-CD8DEBE3,Familiar (Red-tailed) Chat,Oenanthe familiaris,avibase-CD8DEBE3,Familiar Chat,Oenanthe familiaris
stable-avibase-CDF4A106,name_change,stable_avilist_id,avibase-CDF4A106,Striolated Bunting,Fringillaria striolata,avibase-CDF4A106,Striolated Bunting,Emberiza striolata
stable-avibase-CE1CF6FD,name_change,stable_avilist_id,avibase-CE1CF6FD,Little Sparrowhawk,Accipiter minullus,avibase-CE1CF6FD,Little Sparrowhawk,Tachyspiza minulla
stable-avibase-CF2E9674,name_change,stable_avilist_id,avibase-CF2E9674,Common Stonechat,Saxicola torquatus,avibase-CF2E9674,African Stonechat,Saxicola torquatus
stable-avibase-D0A5FADB,name_change,stable_avilist_id,avibase-D0A5FADB,Fine-banded Woodpecker,Campethera taeniolaema (race hausbergi),avibase-D0A5FADB,Fine-banded Woodpecker,Campethera taeniolaema
stable-avibase-D0EAD8A3,name_change,stable_avilist_id,avibase-D0EAD8A3,Collared Lark,Mirafra collaris,avibase-D0EAD8A3,Collared Lark,Amirafra collaris
stable-avibase-D0FA8EBE,name_change,stable_avilist_id,avibase-D0FA8EBE,Crowned Plover,Vanellus coronatus,avibase-D0FA8EBE,Crowned Lapwing,Vanellus coronatus
stable-avibase-D12CDD0F,name_change,stable_avilist_id,avibase-D12CDD0F,Black-throated Seedeater,Crithagra atrogularis,avibase-D12CDD0F,Black-throated Canary,Crithagra atrogularis
stable-avibase-D1C1A026,name_change,stable_avilist_id,avibase-D1C1A026,Golden-breasted Bunting,Fringillaria flaviventris,avibase-D1C1A026,Golden-breasted Bunting,Emberiza flaviventris
stable-avibase-D1FFB474,name_change,stable_avilist_id,avibase-D1FFB474,White-headed Wood-hoopoe,Phoeniculus bollei,avibase-D1FFB474,White-headed Wood Hoopoe,Phoeniculus bollei
stable-avibase-D2854489,name_change,stable_avilist_id,avibase-D2854489,Plain Martin,Riparia paludicola,avibase-D2854489,Brown-throated Martin,Riparia paludicola
stable-avibase-D295D249,name_change,stable_avilist_id,avibase-D295D249,Wilson’s Storm-petrel ,Oceanites oceanicus,avibase-D295D249,Wilson's Storm Petrel,Oceanites oceanicus
stable-avibase-D33D2F6D,name_change,stable_avilist_id,avibase-D33D2F6D,Golden-winged Sunbird,Drepanorhynchus reichenowi (race lathburyi),avibase-D33D2F6D,Golden-winged Sunbird,Drepanorhynchus reichenowi
stable-avibase-D36F4D98,name_change,stable_avilist_id,avibase-D36F4D98,Standard-winged Nightjar,Macrodipteryx longipennis,avibase-D36F4D98,Standard-winged Nightjar,Caprimulgus longipennis
stable-avibase-D531B5D3,name_change,stable_avilist_id,avibase-D531B5D3,Black-headed Plover,Vanellus tectus,avibase-D531B5D3,Black-headed Lapwing,Vanellus tectus
