IOC_sort,2019#,ADU,Rank,Scientific Name,Common Name,Status Birdlife,2019 IUCN Red List category,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,Order,Family,Clements--Sort,Clements--code,Clements--Scientific Name,Clements--Common Name,Clements--Family,H&M--Scientific Name,H&M--Common Name,H&M--sort_key,HBW-BL--Scientific Name,HBW-BL--Common Name,HBW-BL--Note,HBW-BL--SISRecID,IOC--Code,IOC--Note,96#,2009#,IOC--Breeding Range,IOC--Nonbreeding Range,Clements--range,H&M--range,Note 2019,Note 2009
29488,,,Subspecies,Cryptospiza salvadorii ruwenzori,Abyssinian Crimsonwing,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29860,,Cryptospiza salvadorii ruwenzori,,Estrildids,Cryptospiza salvadorii ruwenzori,Ethiopian Crimson-wing,180-001-012-002-002,,,,,,,,,"e DR Congo, sw Uganda, w Rwanda and w Burundi",,Rwenzori Mountains (northeastern Democratic Republic of the Congo and southwestern Uganda) south to western Burundi,"E DR Congo, SW Uganda",,
29489,,,Subspecies,Cryptospiza salvadorii kilimensis,Abyssinian Crimsonwing,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29858,,Cryptospiza salvadorii kilimensis,,Estrildids,Cryptospiza salvadorii kilimensis,Ethiopian Crimson-wing,180-001-012-002-003,,,,,,,,,"s Sudan, e Uganda, Kenya and n Tanzania",,"southern South Sudan, eastern Uganda, Kenya (except the north), and northern Tanzania","SE South Sudan, Kenya, N Tanzania",,
29493,740,3958,Species,Pyrenestes ostrinus,Black-bellied Seedcracker,,Least Concern,,,,,,,,,,TRUE,,,,,,,,,,,,,,passeriformes, Estrildidae,29928,blbsee1,Pyrenestes ostrinus,Black-bellied Seedcracker,Estrildids,Pyrenestes ostrinus,Black-bellied Seedcracker,180-001-009-001,Pyrenestes ostrinus,Black-bellied Seedcracker,,22719384,,,1282,1027,AF : Ivory Coast to s South Sudan and w Kenya and south to Zambia and n Angola,,"Ivory Coast to Gabon, n Angola, e Democratic Republic of the Congo, Tanzania, ne Zambia","SE Ivory Coast, Ghana to Uganda, N Angola, N Zambia",,
29502,739,1190,Species,Spermophaga ruficapilla,Red-headed Bluebill,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29925,rehblu1,Spermophaga ruficapilla,Red-headed Bluebill,Estrildids,Spermophaga ruficapilla,Red-headed Bluebill,180-001-008-003,Spermophaga ruficapilla,Red-headed Bluebill,,22719403,,,1285,1026,"AF : c, ec",,,,,PM
29503,,,Subspecies,Spermophaga ruficapilla ruficapilla,Red-headed Bluebill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29926,,Spermophaga ruficapilla ruficapilla,,Estrildids,Spermophaga ruficapilla ruficapilla,Red-headed Bluebill,180-001-008-003-001,,,,,,,,,"se Central African Republic, s Sudan and Uganda to Kenya, w Tanzania, s DR Congo and n Angola",,"northern Angola to southern South Sudan, Uganda, western Kenya, and western Tanzania","NW Angola, S and E DR Congo east to S South Sudan, Uganda, W Kenya",,
29504,,,Subspecies,Spermophaga ruficapilla cana,Red-headed Bluebill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29927,,Spermophaga ruficapilla cana,,Estrildids,Spermophaga ruficapilla cana,Red-headed Bluebill,180-001-008-003-002,,,,,,,,,ne Tanzania,,NE Tanzania (Usambara Mountains),NE Tanzania,,
29506,732,3722,Species,Clytospiza monteiri,Brown Twinspot,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29951,brotwi1,Clytospiza monteiri,Brown Twinspot,Estrildids,Clytospiza monteiri,Brown Twinspot,180-001-002-001,Clytospiza monteiri,Brown Twinspot,,22719407,,,1288,1032,AF : se Nigeria and Cameroon to s South Sudan and w Kenya; Gabon to w Angola and east to c DR Congo,,"southeastern Nigeria south to northern Angola, east to southern South Sudan, western Uganda, and western Kenya","E Nigeria to W and S South Sudan, Uganda, W Kenya",,
29509,735,832,Species,Hypargos niveoguttatus,Red-throated Twinspot,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29947,pettwi1,Hypargos niveoguttatus,Peters's Twinspot,Estrildids,Hypargos niveoguttatus,Peters's Twinspot,180-001-004-002,Hypargos niveoguttatus,Red-throated Twinspot,,22719411,,,1286,1031,"AF : e, se",,,,,
29510,,,Subspecies,Hypargos niveoguttatus macrospilotus,Red-throated Twinspot,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29948,,Hypargos niveoguttatus macrospilotus,,Estrildids,Hypargos niveoguttatus macrospilotus,Peters's Twinspot,180-001-004-002-001,,,,,,,,,"s Somalia and se Kenya to ne Angola, se DR Congo, n Zimbabwe and c Mozambique",,"Angola to e Democratic Republic of the Congo, Kenya, Somalia, Tanzania, Zambia and Malawi","E DR Congo to Kenya, Tanzania, N Malawi, Zambia, NE Angola, N Zimbabwe, N Mozambique",,
29511,,,Subspecies,Hypargos niveoguttatus niveoguttatus,Red-throated Twinspot,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29949,,Hypargos niveoguttatus niveoguttatus,,Estrildids,Hypargos niveoguttatus niveoguttatus,Peters's Twinspot,180-001-004-002-002,,,,,,,,,e Zimbabwe and s Mozambique,,E Zimbabwe and s Mozambique,"S Malawi, E Zimbabwe, C Mozambique",,
29518,727,3778,Species,Lagonosticta rara,Black-bellied Firefinch,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29984,blbfir1,Lagonosticta rara,Black-bellied Firefinch,Estrildids,Lagonosticta rara,Black-bellied Firefinch,180-001-001-001,Lagonosticta rara,Black-bellied Firefinch,,22719444,,,1296,1035,"AF : w, c, e",,,,,
29519,,,Subspecies,Lagonosticta rara forbesi,Black-bellied Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29985,,Lagonosticta rara forbesi,,Estrildids,Lagonosticta rara forbesi,Black-bellied Firefinch,180-001-001-001-001,,,,,,,,,Senegal to Nigeria,,Senegal to Nigeria,SE Senegal to Nigeria,,
29520,,,Subspecies,Lagonosticta rara rara,Black-bellied Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29986,,Lagonosticta rara rara,,Estrildids,Lagonosticta rara rara,Black-bellied Firefinch,180-001-001-001-002,,,,,,,,,"Cameroon to s Sudan, Uganda and w Kenya",,"Cameroon to South Sudan, northeastern Democratic Republic of the Congo, northern Uganda, and western Kenya","N Cameroon to W and S South Sudan, Uganda, W Kenya",,
29521,728,3768,Species,Lagonosticta rufopicta,Bar-breasted Firefinch,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29976,babfir1,Lagonosticta rufopicta,Bar-breasted Firefinch,Estrildids,Lagonosticta rufopicta,Bar-breasted Firefinch,180-001-001-002,Lagonosticta rufopicta,Bar-breasted Firefinch,,22719428,,,1291,1036,"AF : w, c",,,,,
29522,,,Subspecies,Lagonosticta rufopicta rufopicta,Bar-breasted Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29977,,Lagonosticta rufopicta rufopicta,,Estrildids,Lagonosticta rufopicta rufopicta,Bar-breasted Firefinch,180-001-001-002-001,,,,,,,,,Senegal and Gambia to Chad and Central African Republic,,"Senegal to Nigeria, n Cameroon and Ubangi-Chari","Senegal to N Cameroon, Central African Republic",,
29523,,,Subspecies,Lagonosticta rufopicta lateritia,Bar-breasted Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29978,,Lagonosticta rufopicta lateritia,,Estrildids,Lagonosticta rufopicta lateritia,Bar-breasted Firefinch,180-001-001-002-002,,,,,,,,,"s Sudan, ne DR Congo, s Ethiopia, Uganda and w Kenya",,"South Sudan, western Ethiopia, northeastern Democratic Republic of the Congo, Uganda, and western Kenya","South Sudan, NE DR Congo, N Uganda, W Kenya",,
29525,729,837,Species,Lagonosticta senegala,Red-billed Firefinch,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29969,rebfir2,Lagonosticta senegala,Red-billed Firefinch,Estrildids,Lagonosticta senegala,Red-billed Firefinch,180-001-001-004,Lagonosticta senegala,Red-billed Firefinch,,22719440,,,1293,1037,"AF : w, ec, e, s",,,,,
29526,,,Subspecies,Lagonosticta senegala senegala,Red-billed Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29970,,Lagonosticta senegala senegala,,Estrildids,Lagonosticta senegala senegala,Red-billed Firefinch,180-001-001-004-001,,,,,,,,,"Mauritania, Senegal and Gambia to w and c Nigeria",,Cape Verde Islands; Senegal and Mali to Nigeria,"S Mauritania to Sierra Leone, east to Nigeria (except E); oases in S Algeria and N Niger",,
29527,,,Subspecies,Lagonosticta senegala rhodopsis,Red-billed Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29971,,Lagonosticta senegala rhodopsis,,Estrildids,Lagonosticta senegala rhodopsis,Red-billed Firefinch,180-001-001-004-002,,,,,,,,,"e Nigeria, n and c Cameroon and s Chad to Sudan, w Eritrea and w Ethiopia",,"eastern Mali to western Sudan, northern and western South Sudan, Eritrea, and western Ethiopia","E Nigeria and S Chad to Sudan, N and W South Sudan, W Ethiopia and Eritrea",,
29528,,,Subspecies,Lagonosticta senegala brunneiceps,Red-billed Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29973,,Lagonosticta senegala brunneiceps,,Estrildids,Lagonosticta senegala brunneiceps,Red-billed Firefinch,180-001-001-004-003,,,,,,,,,c Ethiopia and se Sudan,,"southeastern South Sudan, and central Ethiopia","SE South Sudan, SW, C and E Ethiopia",,
29529,,,Subspecies,Lagonosticta senegala somaliensis,Red-billed Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29974,,Lagonosticta senegala somaliensis,,Estrildids,Lagonosticta senegala somaliensis,Red-billed Firefinch,180-001-001-004-004,,,,,,,,,se Ethiopia and s Somalia,,SE Ethiopia and Somalia,"SE Ethiopia to Somalia, E Kenya, E Tanzania",,
29530,,,Subspecies,Lagonosticta senegala ruberrima,Red-billed Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29972,,Lagonosticta senegala ruberrima,,Estrildids,Lagonosticta senegala ruberrima,Red-billed Firefinch,180-001-001-004-005,,,,,,,,,"DR Congo, Uganda and w Kenya to ne Angola, ne Zambia and n Malawi",,"Uganda, Kenya, Tanzania, ne Zambia, Democratic Republic of the Congo and ne Angola","E and S DR Congo, Uganda to C Kenya, Tanzania, NE Zambia, N Malawi",,
29531,,,Subspecies,Lagonosticta senegala rendalli,Red-billed Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29975,,Lagonosticta senegala rendalli,,Estrildids,Lagonosticta senegala rendalli,Red-billed Firefinch,180-001-001-004-006,,,,,SSP,"Includes pallidicrissa. Hockey et al., 2005; Payne, 2010",,,s Angola to Mozambique south to South Africa,,"S Angola to s Tanzania, Natal, and n-central Cape Province","S and E Zambia to S Tanzania, Mozambique, Zimbabwe, NE and E South Africa",,
29535,730,833,Species,Lagonosticta rubricata,African Firefinch,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29987,afffin,Lagonosticta rubricata,African Firefinch,Estrildids,Lagonosticta rubricata,African Firefinch,180-001-001-009,Lagonosticta rubricata,African Firefinch,"Lagonosticta rubricata (del Hoyo and Collar 2016) was previously split as L. rubricata and L. landanae following Sibley & Monroe (1990, 1993).",22731403,,,1294,1038,"AF : w, c, se, s",,,,,
29536,,,Subspecies,Lagonosticta rubricata polionota,African Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29988,,Lagonosticta rubricata polionota,,Estrildids,Lagonosticta rubricata polionota,African Firefinch,180-001-001-009-001,,,,,,,,,s Senegal to Nigeria,,Guinea to Nigeria,"S Senegal, Guinea to Nigeria",,
29537,,,Subspecies,Lagonosticta rubricata congica,African Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29989,,Lagonosticta rubricata congica,,Estrildids,Lagonosticta rubricata congica,African Firefinch,180-001-001-009-003,,,,,,,,,"Cameroon to s Sudan, w Uganda, s and e DR Congo and n Angola",,"Cameroon south to northern Angola, east to South Sudan, northeastern Democratic Republic of the Congo, and western Uganda","Cameroon to W South Sudan, NE DR Congo and W Uganda, south to Gabon, N and NE Angola and NW Zambia",,
29538,,,Subspecies,Lagonosticta rubricata haematocephala,African Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29990,,Lagonosticta rubricata haematocephala,,Estrildids,Lagonosticta rubricata haematocephala,African Firefinch,180-001-001-009-005,,,,,,,,,"e Sudan, Ethiopia, c and s Uganda, w and c Kenya south to Zambia, Malawi,  E Zimbabwe, e Tanzania and n and c Mozambique",,"eastern South Sudan, Eritrea, and Ethiopia south through Uganda and Kenya to Zambia, eastern Zimbabwe, Malawi, and central Mozambique","Ethiopia, E South Sudan, E Uganda and Kenya to Zambia, Malawi, E Zimbabwe, C Mozambique",,
29539,,,Subspecies,Lagonosticta rubricata rubricata,African Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29991,,Lagonosticta rubricata rubricata,,Estrildids,Lagonosticta rubricata rubricata,African Firefinch,180-001-001-009-006,,,,,,,,,s Mozambique and n and e South Africa,,"South Africa, Swaziland and Mozambique south of Save R.","S Mozambique, E South Africa",,
29541,731,835,Species,Lagonosticta rhodopareia,Jameson's Firefinch,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29993,jamfir1,Lagonosticta rhodopareia,Jameson's Firefinch,Estrildids,Lagonosticta rhodopareia,Jameson's Firefinch,180-001-001-007,Lagonosticta rhodopareia,Jameson's Firefinch,Lagonosticta rhodopareia and L. umbrinodorsalis (del Hoyo and Collar 2016) were previously lumped as L. rhodopareia.,103812687,,,1295,1039,"AF : e, sc",,,,,
29542,,,Subspecies,Lagonosticta rhodopareia rhodopareia,Jameson's Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29994,,Lagonosticta rhodopareia rhodopareia,,Estrildids,Lagonosticta rhodopareia rhodopareia,Jameson's Firefinch,180-001-001-007-001,,,,,,,,,"s Sudan, sw Ethiopia, ne Uganda and w Kenya",,"eastern South Sudan, Ethiopia, northeastern Uganda, and northern Kenya","S Ethiopia, NW Kenya",,
29543,,,Subspecies,Lagonosticta rhodopareia jamesoni,Jameson's Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29995,,Lagonosticta rhodopareia jamesoni,,Estrildids,Lagonosticta rhodopareia jamesoni,Jameson's Firefinch,180-001-001-007-002,,,,,,,,,s Kenya to n and ne South Africa,,Kenya to South Africa,"S Kenya to Zambia, Mozambique, N and E Botswana, NE South Africa",,
29544,,,Subspecies,Lagonosticta rhodopareia ansorgei,Jameson's Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29996,,Lagonosticta rhodopareia ansorgei,,Estrildids,Lagonosticta rhodopareia ansorgei,Jameson's Firefinch,180-001-001-007-003,,,,,,,,,"sw DR Congo, Angola and nw Namibia",,"Angola, lower Democratic Republic of the Congo (Matadi) and n Namibia",Lower Congo basin to W Angola,,
29545,,3776,Species,Lagonosticta larvata,Black-faced Firefinch,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29980,bkffir1,Lagonosticta larvata,Black-faced Firefinch,Estrildids,Lagonosticta larvata,Black-faced Firefinch,180-001-001-010,Lagonosticta larvata,Ethiopian Firefinch,"Lagonosticta larvata, L. nigricollis and L. vinacea (del Hoyo and Collar 2016) were previously lumped as L. larvata following Dowsett & Forbes-Watson (1993).",103812904,ENG,Change English name of Lagonosticta larvata to Black-faced Firefinch with lump of L. vinacea,,,"AF : Sudan and Ethiopia to w, c Africa",,,,,
29546,,,Subspecies,Lagonosticta larvata larvata,Black-faced Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29983,bkffir4,Lagonosticta larvata larvata,Black-faced Firefinch (Reddish),Estrildids,Lagonosticta larvata larvata,Black-faced Firefinch,180-001-001-010-001,,,,,,,,,e Sudan and Ethiopia,,"southeastern Sudan, eastern South Sudan and western Ethiopia","W and C Ethiopia, SE South Sudan",,
29547,,,Subspecies,Lagonosticta larvata vinacea,Black-faced Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29981,bkffir2,Lagonosticta larvata vinacea,Black-faced Firefinch (Vinaceous),Estrildids,Lagonosticta larvata vinacea,Black-faced Firefinch,180-001-001-010-002,,,,,,,,,Senegal and Gambia to w Mali and Guinea,,Senegal to Guinea and w Mali,Senegal to Guinea and W Mali,,
29548,,,Subspecies,Lagonosticta larvata nigricollis,Black-faced Firefinch,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29982,bkffir3,Lagonosticta larvata nigricollis,Black-faced Firefinch (Gray),Estrildids,Lagonosticta larvata nigricollis,Black-faced Firefinch,180-001-001-010-004,,,,,SSP,"Includes togoensis. Payne, 2010",,,"c, s Mali to Sudan and Uganda",,"central and southern Mali east to southwestern Sudan, western and southern South Sudan, northeastern Democratic Republic of the Congo, and northern Uganda",Central African Republic to W and S South Sudan and N Uganda,,
29550,,839,Species,Uraeginthus angolensis,Blue Waxbill,Rare/Accidental,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29931,bubcor1,Uraeginthus angolensis,Southern Cordonbleu,Estrildids,Uraeginthus angolensis,Blue-breasted Cordon-bleu,180-001-007-001,Uraeginthus angolensis,Blue-breasted Cordon-bleu,,22719488,,,,,AF : s,,,,,
29551,,,Subspecies,Uraeginthus angolensis angolensis,Blue Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29932,,Uraeginthus angolensis angolensis,,Estrildids,Uraeginthus angolensis angolensis,Blue-breasted Cordon-bleu,180-001-007-001-001,,,,,,,,,"S„o TomÈ, sw DR Congo, n Angola and nw Zambia",,"N Angola to s Democratic Republic of the Congo, nw Zambia and n Zimbabwe; S„o TomÈ","S PR Congo to N Angola, NW Zambia",,
29552,,,Subspecies,Uraeginthus angolensis cyanopleurus,Blue Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,,,,,,Uraeginthus angolensis cyanopleurus,Blue-breasted Cordon-bleu,180-001-007-001-002,,,,,SSP,"Add: Payne, 2010",,,"s Angola, sw Zambia, nw Zimbabwe, n Botswana",,,"S Angola, SW Zambia, NW Zimbabwe, N Botswana",,
29553,,,Subspecies,Uraeginthus angolensis niassensis,Blue Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29933,,Uraeginthus angolensis niassensis,,Estrildids,Uraeginthus angolensis niassensis,Blue-breasted Cordon-bleu,180-001-007-001-003,,,,,,,,,"e Tanzania to c and e Zambia, Malawi, Mozambique, s Zimbabwe and e South Africa",,"S Tanzania, s Democratic Republic of the Congo, Mozambique, Malawi, Zambia to S Africa","E and S Tanzania to C and E Zambia, Malawi, Mozambique, E and S Zimbabwe, NE and E South Africa",,
29554,737,3974,Species,Uraeginthus bengalus,Red-cheeked Cordon-bleu,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29934,reccor,Uraeginthus bengalus,Red-cheeked Cordonbleu,Estrildids,Uraeginthus bengalus,Red-cheeked Cordon-bleu,180-001-007-002,Uraeginthus bengalus,Red-cheeked Cordon-bleu,,22719493,,,1309,1028,"AF : w, c, e",,,,,Uraeginthus bengalus brunneigularis E
29555,,,Subspecies,Uraeginthus bengalus bengalus,Red-cheeked Cordon-bleu,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29935,,Uraeginthus bengalus bengalus,,Estrildids,Uraeginthus bengalus bengalus,Red-cheeked Cordon-bleu,180-001-007-002-001,,,,,,,,,"s Mauritania to Guinea and east to Ethiopia, Uganda and w Kenya",,"Senegal south to Guinea, east to Eritrea, Ethiopia, northeastern Democratic Republic of the Congo, Uganda, and Kenya (west of the Rift Valley)","Senegal to Ethiopia, Uganda, W Kenya",,
29556,,,Subspecies,Uraeginthus bengalus brunneigularis,Red-cheeked Cordon-bleu,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29936,,Uraeginthus bengalus brunneigularis,,Estrildids,Uraeginthus bengalus brunneigularis,Red-cheeked Cordon-bleu,180-001-007-002-002,,,,,SSP,"Includes littoralis. Payne, 2010",,,"s Somalia, c, e Kenya and ne Tanzania",,S Somalia and Kenya to Tanzania,"S Somalia, C and E Kenya, NE Tanzania",,
29557,,,Subspecies,Uraeginthus bengalus ugogensis,Red-cheeked Cordon-bleu,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29937,,Uraeginthus bengalus ugogensis,,Estrildids,Uraeginthus bengalus ugogensis,Red-cheeked Cordon-bleu,180-001-007-002-004,,,,,,,,,"s Kenya and n, w and c Tanzania",,S Kenya and Tanzania,"N, W and C Tanzania",,
29558,,,Subspecies,Uraeginthus bengalus katangae,Red-cheeked Cordon-bleu,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29938,,Uraeginthus bengalus katangae,,Estrildids,Uraeginthus bengalus katangae,Red-cheeked Cordon-bleu,180-001-007-002-005,,,,,,,,,"ne Angola, s DR Congo and n Zambia",,Extreme ne Angola to s Democratic Republic of the Congo and n Zambia,"NE Angola, S DR Congo, N Zambia",,
29559,738,3976,Species,Uraeginthus cyanocephalus,Blue-capped Cordon-bleu,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29939,blccor1,Uraeginthus cyanocephalus,Blue-capped Cordonbleu,Estrildids,Uraeginthus cyanocephalus,Blue-capped Cordon-bleu,180-001-007-003,Uraeginthus cyanocephalus,Blue-capped Cordon-bleu,,22719499,,,1310,1029,"AF : s South Sudan, s Ethiopia and s Somalia to c Tanzania",,"extreme southeastern South Sudan, extreme southeastern Ethiopia, southern Somalia, Kenya, and Tanzania","S Somalia, S Ethiopia to NE Tanzania",,
29561,736,3978,Species,Uraeginthus ianthinogaster,Purple Grenadier,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29941,purgre2,Granatina ianthinogaster,Purple Grenadier,Estrildids,Granatina ianthinogaster,Purple Grenadier,180-001-006-002,Granatina ianthinogaster,Purple Grenadier,"Granatina ianthinogaster (del Hoyo and Collar 2016) was previously placed in the genus Uraeginthus following Dowsett & Forbes-Watson (1993); Sibley & Monroe (1990, 1993).",22719504,,,1311,1030,AF : Ethiopia and Somalia to c Tanzania,,"southeastern South Sudan, southern Ethiopia, Somalia, northeastern Uganda, Kenya, and Tanzania","Somalia, E and S Ethiopia, SE South Sudan to N and C Tanzania",,Included in Uraeginthus in the 1996 list
29563,751,826,Species,Coccopygia quartinia,Yellow-bellied Waxbill,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29844,yebwax2,Coccopygia quartinia,Yellow-bellied Waxbill,Estrildids,Coccopygia quartinia,Yellow-bellied Waxbill,180-001-013-002,Coccopygia quartinia,Yellow-bellied Waxbill,"Coccopygia melanotis, C. bocagei and C. quartinia (del Hoyo and Collar 2016) were previously placed in the genus Estrilda and lumped as C. melanotis following Dowsett & Forbes-Watson (1993).",103815089,,,1299,1015,"AF : ec, se",,,,,Was included in Estrilda in the 1996 list
29564,,,Subspecies,Coccopygia quartinia quartinia,Yellow-bellied Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29845,,Coccopygia quartinia quartinia,,Estrildids,Coccopygia quartinia quartinia,Yellow-bellied Waxbill,180-001-013-002-001,,,,,,,,,"Eritrea, Ethiopia and se Sudan",,Highlands of Eritrea and Ethiopia,"Ethiopia, Eritrea, SE South Sudan",,
29565,,,Subspecies,Coccopygia quartinia kilimensis,Yellow-bellied Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29846,,Coccopygia quartinia kilimensis,,Estrildids,Coccopygia quartinia kilimensis,Yellow-bellied Waxbill,180-001-013-002-002,,,,,,,,,e DR Congo to c Kenya and n Tanzania,,"extreme southeastern South Sudan, eastern Democratic Republic of the Congo, Uganda, Kenya, and northern and central Tanzania","E DR Congo to C Kenya, N Tanzania",,
29566,,,Subspecies,Coccopygia quartinia stuartirwini,Yellow-bellied Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29847,,Coccopygia quartinia stuartirwini,,Estrildids,Coccopygia quartinia stuartirwini,Yellow-bellied Waxbill,180-001-013-002-003,,,,,,,,,e Zambia to e Tanzania and e Zimbabwe,,S and e Tanzania to e Zimbabwe,"E and S Tanzania, E Zambia, Malawi, E Zimbabwe, W Mozambique [Clancey, 1969 #838]",,
29576,741,1090,Species,Estrilda paludicola,Fawn-breasted Waxbill,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29871,fabwax1,Estrilda paludicola,Fawn-breasted Waxbill,Estrildids,Estrilda paludicola,Fawn-breasted Waxbill,180-001-010-005,Estrilda paludicola,Fawn-breasted Waxbill,,22719548,,,1300,1018,"AF : c, ec",,,,,
29577,,,Subspecies,Estrilda paludicola paludicola,Fawn-breasted Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29876,,Estrilda paludicola paludicola,,Estrildids,Estrilda paludicola paludicola,Fawn-breasted Waxbill,180-001-010-005-002,,,,,,,,,e Central African Republic and n DR Congo to w Kenya,,"Central African Republic, southern Sudan, western South Sudan, northeastern Democratic Republic of the Congo, northern and central Uganda, and western Kenya","N DR Congo, N Uganda, W and S South Sudan, W Kenya",,
29578,,,Subspecies,Estrilda paludicola roseicrissa,Fawn-breasted Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29874,,Estrilda paludicola roseicrissa,,Estrildids,Estrilda paludicola roseicrissa,Fawn-breasted Waxbill,180-001-010-005-003,,,,,,,,,e DR Congo and sw Uganda to nw Tanzania,,"E Democratic Republic of the Congo, Rwanda, Burundi, sw Uganda and nw Tanzania","E DR Congo to SW Uganda, NW Tanzania",,
29579,,,Subspecies,Estrilda paludicola marwitzi,Fawn-breasted Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29875,,Estrilda paludicola marwitzi,,Estrildids,Estrilda paludicola marwitzi,Fawn-breasted Waxbill,180-001-010-005-004,,,,,,,,,sc Tanzania,,SW Tanzania,C Tanzania,,
29580,,,Subspecies,Estrilda paludicola benguellensis,Fawn-breasted Waxbill,,,,,,,,,,,,,,,,,,,,,,,,,,passeriformes, Estrildidae,29878,,Estrilda paludicola benguellensis,,Estrildids,Estrilda paludicola benguellensis,Fawn-breasted Waxbill,180-001-010-005-006,,,,,,,,,"Angola, s DR Congo and Zambia",,"Angola, s Democratic Republic of the Congo and n Zambia","S DR Congo, Angola, N Zambia",,
