ID,Sequence,SAFRING_No,avibase_id,ADU_No,Odr,Family,Genus,Species,Common_family,Common_group,Common_species,Split status,UO comment,BL comment,,
1071,938,115,avibase-E91E287A,173,Falconiformes,Falconidae,Falco,subbuteo,"Caracaras, Falcons",Hobby,Eurasian,,,,,
1060,926,116,avibase-F56A73BF,174,Falconiformes,Falconidae,Falco,cuvierii,"Caracaras, Falcons",Hobby,African,,,,,
1057,923,117,avibase-6A64EFCB,178,Falconiformes,Falconidae,Falco,chicquera,"Caracaras, Falcons",Falcon,Red-necked,,,,,
1374,965,118,,0,Ciconiiformes,Phalacrocoracidae,Leucocarbo,campbelli,,Shag,Campbell,,,,,
1052,918,119,avibase-E6137E65,180,Falconiformes,Falconidae,Falco,amurensis,"Caracaras, Falcons",Falcon,Amur,,,,,
1073,940,120,avibase-997A9437,179,Falconiformes,Falconidae,Falco,vespertinus,"Caracaras, Falcons",Falcon,Red-footed,,,,,
1061,927,121,avibase-CA34C05A,185,Falconiformes,Falconidae,Falco,dickinsoni,"Caracaras, Falcons",Kestrel,Dickinson's,,,,,
1069,936,122,avibase-2E4DAA13,182,Falconiformes,Falconidae,Falco,rupicoloides,"Caracaras, Falcons",Kestrel,Greater,,,,,
1070,937,123,avibase-465E7C9F,181,Falconiformes,Falconidae,Falco,rupicolus,,Kestrel,Rock,,,,,
1068,935,124,avibase-D1069C26,0,Falconiformes,Falconidae,Falco,punctatus,"Caracaras, Falcons",Kestrel,Mauritius,,,,,
1064,931,125,avibase-BECA271F,183,Falconiformes,Falconidae,Falco,naumanni,"Caracaras, Falcons",Kestrel,Lesser,,,,,
1995,942,126,avibase-3B52D2B8,186,Falconiformes,Falconidae,Polihierax,semitorquatus,"Caracaras, Falcons",Falcon,Pygmy,,,,,
271,847,127,avibase-648936C0,128,Falconiformes,Accipitridae,Aviceda,cuculoides,"Kites, Hawks and Eagles",Cuckoo-Hawk,African,,,,,
1535,0,128,avibase-7D34E8B4,126,Falconiformes,Accipitridae,Milvus,migrans,,Kite,Black,,How do we handle this two!! Retire Duplicate #14189,,,
1534,896,129,avibase-EE9C6A5E,888,Falconiformes,Accipitridae,Milvus,aegyptius,,Kite,Yellow-billed,,,,,
939,876,130,avibase-97C47F3E,127,Falconiformes,Accipitridae,Elanus,caeruleus,"Kites, Hawks and Eagles",Kite,Black-winged,,,,,
1428,891,131,avibase-DAE4C523,129,Falconiformes,Accipitridae,Macheiramphus,alcinus,"Kites, Hawks and Eagles",Hawk,Bat,,,,,
1787,903,132,avibase-ED5A7E8F,130,Falconiformes,Accipitridae,Pernis,apivorus,"Kites, Hawks and Eagles",Buzzard,European Honey,,,,,
227,845,133,avibase-14F13C32,131,Falconiformes,Accipitridae,Aquila,verreauxii,"Kites, Hawks and Eagles",Eagle,Verreaux's,,,,,
225,843,134,avibase-F6D547B2,132,Falconiformes,Accipitridae,Aquila,rapax,"Kites, Hawks and Eagles",Eagle,Tawny,,,,,
224,840,135,avibase-A635F565,133,Falconiformes,Accipitridae,Aquila,nipalensis,"Kites, Hawks and Eagles",Eagle,Steppe,,,,,
710,842,136,avibase-C2565B65,134,Falconiformes,Accipitridae,Clanga,pomarina,,Eagle,Lesser Spotted,,,,,
1195,846,137,avibase-535F3C99,135,Falconiformes,Accipitridae,Hieraaetus,wahlbergi,,Eagle,Wahlberg's,,,,,
1398,890,138,avibase-14B9664A,139,Falconiformes,Accipitridae,Lophaetus,occipitalis,"Kites, Hawks and Eagles",Eagle,Long-crested,,,,,
1194,841,139,avibase-4B8CC285,136,Falconiformes,Accipitridae,Hieraaetus,pennatus,,Eagle,Booted,,,,,
1193,887,140,avibase-7DF00403,138,Falconiformes,Accipitridae,Hieraaetus,ayresii,,Hawk-Eagle,Ayres's,,,,,
226,844,141,avibase-9A418C45,137,Falconiformes,Accipitridae,Aquila,spilogaster,"Kites, Hawks and Eagles",Hawk-Eagle,African,,,,,
1994,905,142,avibase-FDA2E4A3,140,Falconiformes,Accipitridae,Polemaetus,bellicosus,"Kites, Hawks and Eagles",Eagle,Martial,,,,,
2255,909,143,avibase-1E3B3515,141,Falconiformes,Accipitridae,Stephanoaetus,coronatus,"Kites, Hawks and Eagles",Eagle,Crowned,,,,,
1280,889,144,avibase-3EEB66ED,154,Falconiformes,Accipitridae,Kaupifalco,monogrammicus,"Kites, Hawks and Eagles",Buzzard,Lizard,,,,,
643,865,145,avibase-6904D83F,142,Falconiformes,Accipitridae,Circaetus,cinereus,"Kites, Hawks and Eagles",Snake Eagle,Brown,,,,,
646,862,146,avibase-BF553D32,143,Falconiformes,Accipitridae,Circaetus,pectoralis,"Kites, Hawks and Eagles",Snake Eagle,Black-chested,,,,,
644,866,147,avibase-9F2839A9,144,Falconiformes,Accipitridae,Circaetus,fasciolatus,"Kites, Hawks and Eagles",Snake Eagle,Southern Banded,,,,,
642,864,148,avibase-4327F813,145,Falconiformes,Accipitridae,Circaetus,cinerascens,"Kites, Hawks and Eagles",Snake Eagle,Western Banded,,,,,
1181,885,149,avibase-A19B0CF4,148,Falconiformes,Accipitridae,Haliaeetus,vocifer,"Kites, Hawks and Eagles",Fish Eagle,African,,,,,
1164,878,150,avibase-81DB7410,119,Falconiformes,Accipitridae,Gypaetus,barbatus,"Kites, Hawks and Eagles",Vulture,Bearded,,,,,
2364,910,151,avibase-6CBD8724,146,Falconiformes,Accipitridae,Terathopius,ecaudatus,"Kites, Hawks and Eagles",,Bateleur,,,,,
371,851,152,avibase-22031845,152,Falconiformes,Accipitridae,Buteo,rufofuscus,"Kites, Hawks and Eagles",Buzzard,Jackal,,,,,
363,853,153,avibase-D41EDD2E,153,Falconiformes,Accipitridae,Buteo,augur,"Kites, Hawks and Eagles",Buzzard,Augur,,,,,
367,857,154,avibase-3C6D4915,149,Falconiformes,Accipitridae,Buteo,buteo,,Buzzard,Common,,,,,
372,852,155,avibase-C2AD2E83,150,Falconiformes,Accipitridae,Buteo,trizonatus,"Kites, Hawks and Eagles",Buzzard,Forest,,,,,
14,832,156,avibase-EC0E680F,155,Falconiformes,Accipitridae,Accipiter,rufiventris,"Kites, Hawks and Eagles",Sparrowhawk,Rufous-breasted,,,,,
13,831,157,avibase-BAE91683,156,Falconiformes,Accipitridae,Accipiter,ovampensis,"Kites, Hawks and Eagles",Sparrowhawk,Ovambo,,,,,
11,829,158,avibase-CE1CF6FD,157,Falconiformes,Accipitridae,Accipiter,minullus,"Kites, Hawks and Eagles",Sparrowhawk,Little,,,,,
10,828,159,avibase-819AB823,158,Falconiformes,Accipitridae,Accipiter,melanoleucus,"Kites, Hawks and Eagles",Sparrowhawk,Black,,,,,
15,833,160,avibase-CD18635A,160,Falconiformes,Accipitridae,Accipiter,tachiro,"Kites, Hawks and Eagles",Goshawk,African,,,,,
2,819,161,avibase-1A0ECB6E,159,Falconiformes,Accipitridae,Accipiter,badius,"Kites, Hawks and Eagles",,Shikra,,,,,
1532,895,162,avibase-922DE9C1,161,Falconiformes,Accipitridae,Micronisus,gabar,,Goshawk,Gabar,,,,,
1500,894,163,avibase-D2AFD39B,163,Falconiformes,Accipitridae,Melierax,metabates,"Kites, Hawks and Eagles",Goshawk,Dark Chanting,,,,,
1012,1035,164,avibase-01A11B3A,0,Ciconiiformes,Spheniscidae,Eudyptes,schlegeli,,Penguin,Royal,,,,,
1499,893,165,avibase-389FFA09,162,Falconiformes,Accipitridae,Melierax,canorus,"Kites, Hawks and Eagles",Goshawk,Pale Chanting,,,,,
648,868,166,avibase-E2A19474,164,Falconiformes,Accipitridae,Circus,aeruginosus,"Kites, Hawks and Eagles",Harrier,Western Marsh,,,,,
654,874,167,avibase-2A2C169B,165,Falconiformes,Accipitridae,Circus,ranivorus,"Kites, Hawks and Eagles",Harrier,African Marsh,,,,,
650,870,168,avibase-22647E26,167,Falconiformes,Accipitridae,Circus,macrourus,"Kites, Hawks and Eagles",Harrier,Pallid,,,,,
652,872,169,avibase-A41CD4E7,168,Falconiformes,Accipitridae,Circus,maurus,"Kites, Hawks and Eagles",Harrier,Black,,,,,
